code,trade_date,open,high,low,close,volume,amount,adj_factor,limit_up,limit_down,is_paused,pre_close,qfq_open,qfq_high,qfq_low,qfq_close,qfq_pre_close,ret_1d,rsi14,ema12,ema26,macd_dif,macd_dea,macd_hist,boll_mid,boll_std,boll_upper,boll_lower,boll_percent_b,boll_bandwidth,kdj_rsv9,kdj_k,kdj_d,kdj_j
603466.SH,20251014,9.3,9.49,9.2,9.3,11798744.0,110126065.42,1.0,,,False,9.3,9.3,9.49,9.2,9.3,9.3,0.0,33.10447783063877,9.535716675520744,9.798384299814831,-0.2626676242940871,-0.23911287217677232,-0.023554752117314753,9.7075,0.25590769820384507,10.21931539640769,9.195684603592309,0.10190724735896653,0.10544741620555056,31.858407079646103,35.84008698070539,38.54631112380076,30.427638694514627
603466.SH,20251015,9.32,9.44,9.22,9.37,9562710.0,89392164.94,1.0,,,False,9.3,9.32,9.44,9.22,9.37,9.3,0.007526881720429923,36.05277115969884,9.510221802363706,9.766652129458176,-0.25643032709447056,-0.24257636316031198,-0.01385396393415858,9.683,0.26347865188661823,10.209957303773237,9.156042696226763,0.20301199190258087,0.10884174404073885,38.05309734513269,36.57775710218116,37.890126449927564,33.95301840668836
603466.SH,20251016,9.36,9.37,9.18,9.18,8534888.0,78862785.58,1.0,,,False,9.37,9.36,9.37,9.18,9.18,9.37,-0.02027748132337237,31.938202144208958,9.459418448153905,9.723196416164978,-0.2637779680110732,-0.24681668413046423,-0.016961283880608996,9.6485,0.28130543898045945,10.21111087796092,9.085889122039081,0.08363762739711549,0.11662141845072692,26.086956521739154,33.08082357536716,36.28702549174076,26.66841974261996
603466.SH,20251017,9.14,9.23,8.95,8.95,10226766.0,92785641.48,1.0,,,False,9.18,9.14,9.23,8.95,8.95,9.18,-0.025054466230936878,27.801843294484883,9.38104637920715,9.665922607560164,-0.2848762283530135,-0.2544285929749741,-0.030447635378039406,9.5965,0.30820893887099976,10.212917877742,8.980082122258,-0.02440075421578866,0.12846722820653367,1.818181818181777,22.6599429896387,31.744664657706743,4.490499653502624
603466.SH,20251020,9.18,9.22,9.08,9.14,7218648.0,65847173.5,1.0,,,False,8.95,9.18,9.22,9.08,9.14,8.95,0.021229050279329753,35.260914487649586,9.34396232086759,9.626965377370523,-0.2830030565029329,-0.2601434856805659,-0.022859570822367004,9.556000000000001,0.31228832831213305,10.180576656624266,8.931423343375736,0.16697442532641849,0.13071926676941512,35.18518518518536,26.835023721487588,30.108117678967027,20.28883580652871
603466.SH,20251021,9.18,9.19,9.07,9.16,6146976.0,56233131.52,1.0,,,False,9.14,9.18,9.19,9.07,9.16,9.14,0.002188183807439792,36.01034179054497,9.315660425349499,9.59237534941715,-0.27671492406765097,-0.2634577733579829,-0.013257150709668042,9.5215,0.31599485755307116,10.153489715106142,8.889510284893857,0.2139985102927776,0.13275003205506322,38.88888888888898,30.85297877728805,30.3564047117407,31.846126908382743
603466.SH,20251022,9.2,9.27,9.12,9.17,5949080.0,54767416.82,1.0,,,False,9.16,9.2,9.27,9.12,9.17,9.16,0.0010917030567685337,36.40673731800767,9.293251129141884,9.56108828649736,-0.2678371573554763,-0.2643336501574816,-0.003503507197994693,9.479,0.3029834979004378,10.084966995800874,8.873033004199124,0.2450356189848178,0.1278546251294177,40.74074074074079,34.1488994317723,31.620569618417903,39.2055590584811
603466.SH,20251023,9.37,9.38,9.14,9.26,11027744.0,101985223.44,1.0,,,False,9.17,9.37,9.38,9.14,9.26,9.17,0.009814612868047856,40.00866253971081,9.288135570812363,9.53878545046052,-0.2506498796481562,-0.26159689605561653,0.01094701640746032,9.44,0.27738060494559386,9.994761209891188,8.885238790108811,0.33776803713862286,0.11753415463796357,57.407407407407405,41.90173542365067,35.04762488682883,55.60995649729435
603466.SH,20251024,9.3,9.4,9.25,9.38,11610680.0,108571914.68,1.0,,,False,9.26,9.3,9.4,9.25,9.38,9.26,0.012958963282937441,44.520750742324914,9.302268559918154,9.527023565241223,-0.22475500532306825,-0.2542285179091069,0.02947351258603864,9.411,0.25051746446102857,9.912034928922056,8.909965071077943,0.4690640330538499,0.10647857378005661,79.62962962962978,54.47770015897704,41.52431664421157,80.38446718850801
603466.SH,20251027,9.39,9.4,9.24,9.28,10814378.0,100485264.07,1.0,,,False,9.38,9.39,9.4,9.24,9.28,9.38,-0.0106609808102347,41.70568991412352,9.298842627623053,9.508725523371503,-0.20988289574844998,-0.24535939347697552,0.03547649772852554,9.381,0.22741811713225882,9.835836234264518,8.926163765735483,0.3889710269419051,0.09696966938802204,67.3469387755102,58.7674463644881,47.27202655097041,81.75828599152348
